description,parole_chiave
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,failing secure child age 8 child safety seat transporting motor vehicle
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,exceeding posted speed limit 45 mph
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,driver fail make required stop sign
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE,displaying expired registration plates issued state
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,driver turning left fail yield right way vehicle approaching opposite direction
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,driver failing give turn signal continuously last 100 travel turning
INSTALLING WINDOW TINTING MATERIAL NOT IN COMPLIANCE WITH REQUIREMENTS,installing window tinting material compliance requirements
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,exceeding posted speed limit 40 mph
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,exceeding posted speed limit 40 mph
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,exceeding posted speed limit 45 mph
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,failure display tab plates veh required adm
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY FROM PRIVATE DRIVEWAY,driver failure yield right way entering hwy private driveway
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,driving vehicle excess reasonable prudent speed highway speed
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEH ON HWY WITH SUSPENDED REG,driving veh hwy suspended reg
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,driver fail stop flashing red traffic signal stop line
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,driver fail stop red traffic signal right turn
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,driver failing give turn signal continuously last 100 travel turning
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,exceeding posted speed limit 40 mph
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
VEH HWY OPERATION WITH INADEQUATE REAR RED LIGHT REFLECTOR,veh hwy operation inadequate rear red light reflector
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,exceeding posted speed limit 40 mph
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,failure maintain legible registration plate free covers
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
MOTOR VEH EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM,motor veh equipped unlawfully modified exhaust system
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,driver fail stop steady red arrow signal
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING UNSAFE VEH ON HWY 25 WINDOW TINT,driving unsafe veh hwy 25 window tint
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure stop pedestrian crosswalk
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,driver fail stop red traffic signal right turn
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,failure carry registration card within vehicle
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure stop pedestrian crosswalk
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,failure display reflect red color light rear lamps reflectors req
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering crosswalk flashing red traffic signal without stopping
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,failure properly equip locate headlamps motor veh
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
MAKING VEHICULAR TURN ON AUTHORITY HIGHWAY WHERE PROHIBITED BY SIGNS,making vehicular turn authority highway prohibited signs
OPER MOTOR VEH WITH OCCUPANT UNDER 16 NOT RESTRAINED BY SEAT BELT,oper motor veh occupant 16 restrained seat belt
DRIVING UNSAFE VEH ON HWY,driving unsafe veh hwy
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FOLLOWING VEH TOO CLOSELY,following veh closely
FAILURE OF DRIVER TO YIELD RIGHTOFWAY TO POLICE VEH USING SIGNALS,failure driver yield rightofway police veh using signals
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS,failure notify adm address change within 30 days
WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,willfully driving motor veh slow speed impeding normal reasonable traffic movement
DRIVING VEH WHILE WEARING EARPHONES,driving veh wearing earphones
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVING VEH WITH WINDSHIELD VIEW OBSTRUCTED BY SIGN MATERIAL,driving veh windshield view obstructed sign material
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS,failure maintain legible registration plate free foreign materials
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,failure properly equip locate headlamps motor veh
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
DRIVER FAIL TO YIELD INTERSECTION RIGHTOFWAY TO VEH AFTER TURN ON RED,driver fail yield intersection rightofway veh turn red
FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,failure carry registration card within vehicle
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
DRIVER FAILURE TO AVOID PROJECTING GLARING LIGHT WITHIN 500 FEET OF APPROACHING VEH DRIVER,driver failure avoid projecting glaring light within 500 feet approaching veh driver
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
INSTALLING WINDOW TINTING MATERIAL NOT IN COMPLIANCE WITH REQUIREMENTS,installing window tinting material compliance requirements
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26206,person driving motor vehicle license suspended 26206
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,failure display tab plates veh required adm
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,exceeding posted speed limit 45 mph
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
OPERATING A MV WO PROPER REQUIRED EMERGENCY ROADSIDE WARNING DEVICES,operating mv wo proper required emergency roadside warning devices
EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,exceeding posted speed limit 50 mph
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,parking prohibited official signs
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,driver fail stop flashing red traffic signal stop line
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,failure maintain legible registration plate free covers
