description,parole_chiave,categoria
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVING MOTOR VEH WITH OBSTRUCTED WINDSHIELD SIDEWINGS,obstructed windshield sidewings,Altro
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,properly equip locate headlamps,Altro
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping,Altro
VEH HWY OPERATION WITH INADEQUATE REAR RED COLOR REFLECTOR,inadequate rear red color reflector,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH,accident involving damage,Altro
FAILURE TO STOP AT STOP SIGN,stop sign,Traffic Signs
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit,Altro
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,red traffic signal,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
POSSESSING FICTITIOUS LIC,possessing fictitious lic,Altro
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
OPERATING A MV WITH INADEQUATE TIRES ON OTHER THAN STEERING AXLE,steering axle,Altro
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line,Traffic Signs
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,turning left fail,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,prudent speed,Altro
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,make required stop,Traffic Signs
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
FAIL TO DISPLAY REG CARD ON DEMAND,display reg card,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILE MOTOR VEHICLE IS IN MOTION,use handheld telephone,Altro
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police,Altro
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO EQUIP HWY VEH WITH REQUIRED LAMPS AND REFLECTORS,equip hwy veh,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,display tab,Altro
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp,Traffic Signs
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit,Altro
FAILURE TO STOP AT STOP SIGN AT NEAREST POINT OF APPROACHING TRAFFIC VIEW,approaching traffic view,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,posted speed limit,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates,Altro
DRIVER READING AN ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,travel portion,Altro
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line,Traffic Signs
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line,Traffic Signs
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,seatbelt,Safety
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit,Altro
UNSAFE LANE CHANGING,unsafe lane changing,Altro
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes,Altro
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line,Traffic Signs
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line,Traffic Signs
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit,Altro
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE ANY OTHER TURN,red traffic signal,Altro
FOLLOWING VEH TOO CLOSELY,following veh,Altro
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,yield intersection rightofway,Traffic Signs
FAILURE TO STOP WHEN ENTERING HIGHWAY,entering highway,Altro
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days,Altro
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment,Altro
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued,Altro
STOPPING STANDING PARKING VEH WHERE PROHIBITED BY OFFICIAL SIGN,stopping standing parking veh,Altro
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH,curb upon signal,Altro
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
FAILURE TO STOP AT STOP SIGN AT NEAREST POINT OF APPROACHING TRAFFIC VIEW,approaching traffic view,Altro
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 4330,prudent speed,Altro
DRIVER MAKING PROHIBITED UTURN ON CREST OF GRADE,driver making prohibited uturn,Altro
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,prudent speed,Altro
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police,Altro
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
FAILURE TO STOP AT STOP SIGN AT NEAREST POINT OF APPROACHING TRAFFIC VIEW,approaching traffic view,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
SPEED GREATER THAN REASONABLE,speed greater,Altro
HEADLIGHT LIGHT INOPERATIVE,headlight light inoperative,Altro
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed,Altro
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt,Safety
SUSP,susp,Altro
UNLAWFUL USE OF HISTORIC PASSENGER VEH FOR GENERAL DAILY TRANSPORTATION,historic passenger veh,Altro
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,obstructed windshield view,Altro
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
KNOWINGLY PERMITTING VEH UNDER PERSONS CONTROL TO BE DRIVEN ON HWY BY UNAUTHORIZED PERSON,knowingly permitting veh,Altro
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp,Traffic Signs
OPERATING MOTOR VEHICLE WITHOUT PROPER REQUIRED EMEMERGENCY EQUIPMENT ON POWER UNIT,operating motor vehicle without proper required ememergency equipment,Altro
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material,Altro
DRIVER TURNING VEHICLE WITHOUT GIVING APPROPRIATE SIGNAL AS REQUIRED,driver turning vehicle without giving appropriate signal,Altro
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
DRIVING UNSAFE VEH ON HWY,driving unsafe veh,Violation
DRIVING MOTOR VEH WITH OBSTRUCTED WINDSHIELD,driving motor veh,Violation
FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS,address change within 30 days,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,posted speed limit,Altro
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,stopped school veh operating alternately flashing red lights,Altro
FAILURE YIELD RIGHT OF WAY ON U TURN,failure yield right,Violation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line,Traffic Signs
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line,Traffic Signs
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,red traffic signal,Altro
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment,Traffic Signs
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,properly equip locate headlamps,Altro
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates,Altro
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
LEFT TURN FROM IMPROPER ROAD POSITION,improper road position,Safety
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure,Violation
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps,Altro
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination,Violation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,obstructed windshield view,Altro
PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT,motor veh without seatbelt restraint,Safety
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp,Traffic Signs
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,yield intersection rightofway,Traffic Signs
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,maintain legible registration plate free,Altro
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,motor vehicle following vehicle closer,Altro
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit,Altro
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,maintain legible registration plate free,Altro
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police,Altro
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
PARKING VEH WI 30 FT OF STOP SIGN,parking veh wi 30 ft,Altro
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,stopped school veh operating alternately flashing red lights,Altro
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45MPH,prudent speed,Altro
DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL OR AT STEADY RED ARROW SIGNAL,steady red arrow signal,Altro
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment,Traffic Signs
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit,Altro
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,properly equip locate headlamps,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
LEFT TURN FROM IMPROPER ROAD POSITION,improper road position,Safety
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light,Altro
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps,Altro
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued,Altro
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued,Altro
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,prudent speed,Altro
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 71,prudent speed,Altro
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment,Traffic Signs
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal,Altro
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police,Altro
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,yield intersection rightofway,Traffic Signs
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,posted speed limit,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes,Altro
FAILURE TO DRIVE RIGHT OF CENTER,drive right,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit,Altro
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal,Altro
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle,Altro
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit,Altro
FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS,address change within 30 days,Altro
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,give turn signal continuously,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh,Altro
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,steady red arrow signal,Altro
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half,Altro
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit,Altro
TAILLIGHT INOPERATIVE,taillight inoperative,Altro
