description,parole_chiave
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
LEFT TURN FROM IMPROPER ROAD POSITION,improper road position
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
MOTOR VEH EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM NOISE ABATEMENT DEVICE,unlawfully modified exhaust system noise abatement device
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,failure yield right
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment
DRIVER FAILURE TO REDUCE LIGHT DISTRIBUTION WHEN WITHIN 300 FEET OF APPROACHING VEH FROM REAR,within 300 feet
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,obstructed windshield view
OPERATING A MV WO PROPER REQUIRED EMERGENCY ROADSIDE WARNING DEVICES,mv wo proper required emergency roadside warning devices
DRIVING VEH ON HWY WITH LAMP DISPLAYING WHITE LIGHT FROM REAR,lamp displaying white light
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
DRIVER MAKING PROHIBITED UTURN ON CREST OF GRADE,driver making prohibited uturn
FAILURE TO PROPERLY MAINTAIN AND FASTEN VEHICLE REGISTRATION PLATE IN VISIBLE POSITION,fasten vehicle registration plate
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,learners permit driving wo req supervision
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,posted speed limit
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,securely fasten registration plate
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,yield intersection rightofway
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,posted speed limit
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,official signs
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
OPERATING A COMMERCIAL MOTOR VEHICLE CMV WO A CDL WHEN REQUIREDCDL DOWNGRADED,commercial motor vehicle cmv wo
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,willfully driving motor veh
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,display tab
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP AT STOP SIGN BEFORE ENTERING CROSSWALK,entering crosswalk
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
OPERATING A MV WO PROPER REQUIRED EMERGENCY ROADSIDE WARNING DEVICES,mv wo proper required emergency roadside warning devices
DRIVING UNREGISTERED TRAILER ON HIGHWAY,driving unregistered trailer
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
OBSCURING VEHICLE REGISTRATION PLATE WINTENT TO AVOID ID,obscuring vehicle registration plate wintent
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
NO STEADY BURNING TAIL LAMP ON REARMOST OF VEHICLE VISIBLE,steady burning tail lamp
MOTOR VEH MFR AFTER JUNE 1 1971 WO ADEQUATE TAIL LAMPS,june 1 1971 wo adequate tail lamps
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,posted speed limit
IMPROPER PASSING OF OVERTAKEN VEHICLE,overtaken vehicle
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,properly equip locate headlamps
FAILURE TO STOP AT STOP SIGN,stop sign
EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH FLASHING LIGHTSNOTICE OF DOUBLE FINES 43 MPH IN 25 ZONE,double fines 43 mph
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
VIOLATING LIC RESTRICTION,violating lic restriction
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,willfully driving motor veh
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED ADJACENT TO STOPPED EMERG VEH,stopped emerg veh
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,display tab
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS,maintain legible registration plate free
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH,curb upon signal
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,prudent speed
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,official signs
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,give turn signal continuously
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,properly equip locate headlamps
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
CARRYING LOOSE MATERIAL LOADED TO WITHIN SIX INCHES OF TOP OF ENCLOSURE WO COVERING LOAD,enclosure wo covering load
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING OFF ROADWAY WHILE PASSING VEHICLE,passing vehicle
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
UNLAWFUL USE VEHICLE REGISTERED AS A HISTORIC MOTOR VEHICLE,unlawful use vehicle registered
FAILURE TO STOP WHEN ENTERING HIGHWAY,entering highway
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS,address change within 30 days
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
MOTOR VEH EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM,unlawfully modified exhaust system
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
FAILURE TO STOP FOR STOPPED VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,stopped veh operating alternately flashing red lights
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
FAILURE TO ATTACH VEH REG PLATES AT FRONT AND REAR,attach veh reg plates
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER TURNING VEHICLE WITHOUT GIVING APPROPRIATE SIGNAL AS REQUIRED,driver turning vehicle without giving appropriate signal
DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS OR FOG LIGHTS WHILE OPERATING WINDSHIELD WIPERS,motor vehicle without lighted head lamps
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,steady red arrow signal
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,obey designated lane directions
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,maintain required security
FAILURE TO STOP AT STOP SIGN,stop sign
DRIVER FAILING TO MAKE LEFT TURN FROM LEFT TURN LANE,make left turn
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,posted speed limit
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO STOP AT STOP SIGN,stop sign
FAILING TO STOP UNTIL SAFE TO CONTINUE THROUGH INTERSECTION WNONFUNCT TRAF SIGNAL,intersection wnonfunct traf signal
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,posted speed limit
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 6550,prudent speed
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM,hwy wo current registration validation tabs issued
DRIVING WRONG WAYONE WAY STREET,driving wrong wayone way street
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,red traffic signal
FAILURE TO PROPERLY MAINTAIN AND FASTEN VEH REG PLATE IN VISIBLE POSITION,fasten veh reg plate
DRIVER TURNING VEHICLE WITHOUT GIVING APPROPRIATE SIGNAL AS REQUIRED,driver turning vehicle without giving appropriate signal
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
FAILURE TO STOP AT STOP SIGN,stop sign
PARTS NOT SPECIFICALLY PROVIDED FORNOT IN SAFE OPERATING CONDITION AXLE 2 TIRES TOUCHING,safe operating condition axle 2 tires touching
